DESCRIPCION,CODIGO_ETAPA,DURACION_HORAS,bigrams
211455: Validación reporte con usuario final,COAJU,0.5,"{'Validación reportar', '211455 Validación', 'reportar usuario'}"
Pruebas funcionales,PRSIS,2.0,{'prueba funcional'}
"Generar seguimiento a las actividades en Azure de todo el equipo de infinity, se valida el numero de horas que suman las actividades y se compara con lo que debería llevar.",ASEJE,3.0,"{'hora sumar', 'actividad compar', 'equipo infinity', 'actividad Azure', 'numero hora', 'sumar actividad', 'validar numero', 'Azure equipo', 'seguimiento actividad', 'generar seguimiento', 'infinity validar', 'compar deber'}"
"Generar seguimiento a las actividades en Azure de todo el equipo de infinity, se valida el numero de horas que suman las actividades y se compara con lo que debería llevar.",ASEJE,3.0,"{'hora sumar', 'actividad compar', 'equipo infinity', 'actividad Azure', 'numero hora', 'sumar actividad', 'validar numero', 'Azure equipo', 'seguimiento actividad', 'generar seguimiento', 'infinity validar', 'compar deber'}"
Cerrar bug de documento de seguimiento de presentación de candidatos.,ASEJE,1.25,"{'seguimiento presentación', 'Cerrar bug', 'documento seguimiento', 'bug documento', 'presentación candidato'}"
Daily,APSEG,0.5,set()
"Seguimiento a los proyectos de Colpatria
AML e Integra",APSEG,3.0,"{'seguimiento proyecto', 'proyecto Colpatria', 'Colpatria \r\n', '\r\n AML', 'AML Integra'}"
Daily reunion am,APSEG,0.5,"{'reunion am', 'Daily reunion'}"
Reunión cliente aclaración de dudas del defecto del Paquete depuración de transacciones,APSEG,0.33,"{'cliente aclaración', 'depuración transacción', 'aclaración duda', 'Reunión cliente', 'duda defecto', 'Paquete depuración', 'defecto Paquete'}"
Reunión de inmersión para el proyecto con Kevin López. Inicio en la documentación de lo CP de la HU 03,ASEJE,3.0,"{'iniciar documentación', 'López iniciar', 'documentación CP', 'inmersión proyecto', 'CP HU', 'reunión inmersión', 'Kevin López', 'HU 03', 'proyecto Kevin'}"
Inicio en la documentación de los CP de la HU 03,ASEJE,3.0,"{'iniciar documentación', 'HU 03', 'documentación CP', 'CP HU'}"
Inicio en la documentación de los CP de la HU 10,ASEJE,2.0,"{'iniciar documentación', 'HU 10', 'documentación CP', 'CP HU'}"
Pruebas de authenticacion_api con nuevo evento en transacción log,PRSIS,2.0,"{'evento transacción', 'transacción log', 'authenticacion_api evento', 'Pruebas authenticacion_api'}"
Pruebas de authenticacion_api con nuevo evento en transacción log,PRSIS,3.0,"{'evento transacción', 'transacción log', 'authenticacion_api evento', 'Pruebas authenticacion_api'}"
Reunion con area Qa aclaracion de comportamientos lib 4218,PRSIS,1.0,"{'Reunion area', 'comportamientos lib', 'lib 4218', 'aclaracion comportamientos', 'area Qa', 'Qa aclaracion'}"
Ajustes a paquete de autos para solución de bug en productos 368 y 370,COAJU,3.0,"{'producto 368', 'ajuste paquete', 'solución bug', '368 370', 'paquete auto', 'bug producto', 'auto solución'}"
Se inicia el proceso de documentación y pruebas del proyecto documentos tronador,PRSIS,2.0,"{'documentación prueba', 'proceso documentación', 'iniciar proceso', 'prueba proyecto', 'documento tronador', 'proyecto documento'}"
Se realizan las pruebas unitarias del cargue de maestras de ingresos y egresos,PRSIS,3.0,"{'ingreso egreso', 'realizar prueba', 'prueba unitario', 'cargue maestra', 'maestra ingreso', 'unitario cargue'}"
Se realiza documentación del aplicativo ASGA,COAJU,3.0,"{'documentación aplicativo', 'aplicativo ASGA', 'realizar documentación'}"
Se realiza documentación del aplicativo ASGA,COAJU,2.0,"{'documentación aplicativo', 'aplicativo ASGA', 'realizar documentación'}"
Se realiza documentación del aplicativo ASGA,COAJU,3.0,"{'documentación aplicativo', 'aplicativo ASGA', 'realizar documentación'}"
Empalme con Diana Fernandez del proyecto,PRSIS,0.5,"{'Empalme Diana', 'Diana Fernandez', 'Fernandez proyecto'}"
Daily,PRSIS,0.5,set()
Empalme con Diana Fernandez del proyecto.,PRSIS,3.0,"{'Empalme Diana', 'Diana Fernandez', 'Fernandez proyecto'}"
daily 26 de septiembre,APSEG,0.5,"{'26 septiembre', 'daily 26'}"
"Reunión de seguimiento con Claudia López
Alistar información para el acta.",APSEG,1.5,"{'López \r\n', 'Claudia López', 'reunión seguimiento', '\r\n Alistar', 'Alistar información', 'seguimiento Claudia', 'información acta'}"
Seguimiento con líder de requerimientos del MHCP,APSEG,1.0,"{'requerimiento MHCP', 'Seguimiento líder', 'líder requerimiento'}"
QA Ciclo 2.,PRSIS,2.0,"{'Ciclo 2', 'qa Ciclo'}"
QA Ciclo 2.,PRSIS,2.0,"{'Ciclo 2', 'qa Ciclo'}"
QA Ciclo 2.,PRSIS,2.0,"{'Ciclo 2', 'qa Ciclo'}"
QA Ciclo 2.,PRSIS,2.0,"{'Ciclo 2', 'qa Ciclo'}"
Reunión interna Asesoftware para acordar que posición se tiene frente a Oracle,ASEJE,1.0,"{'posición frente', 'Asesoftware acordar', 'reunión interno', 'acordar posición', 'frente Oracle', 'interno Asesoftware'}"
Revisión de errores de compilación forma prueba piloto,ASEJE,2.0,"{'prueba piloto', 'error compilación', 'compilación formar', 'formar prueba', 'Revisión error'}"
Ajustes de código y pedir apoyos de permisos para que la forma compile,ASEJE,2.0,"{'permiso forma', 'Ajustes código', 'forma compile', 'apoyo permiso', 'código pedir', 'pedir apoyo'}"
Reunión Oracle/Bolívar,ASEJE,3.0,"{'Oracle Bolívar', 'Reunión Oracle'}"
Realizar ADM (CO_1020),APSEG,2.0,{'ADM CO_1020'}
Revisar actas,ASEJE,1.0,{'revisar acta'}
Envió de actas /// solicitud de actas,ASEJE,0.67,"{'acta solicitud', 'solicitud acta', 'enviar acta'}"
Seguimiento a reporte de horas validando que es correcto,ASEJE,1.33,"{'validar correcto', 'hora validar', 'seguimientir reporte', 'reporte hora'}"
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily Exógena,APSEG,0.25,{'Daily Exógena'}
Seguimiento desarrollo CTO,APSEG,0.25,"{'Seguimiento desarrollo', 'desarrollo CTO'}"
revision de pdf poliza cuando hay clausulado,COAJU,3.0,"{'pdf polizar', 'revision pdf', 'polizar clausulado'}"
ajuste de pdf poliza cuando hay clausulado,COAJU,2.0,"{'pdf polizar', 'ajuste pdf', 'polizar clausulado'}"
Reunion ESTADO PRUEBAS VIVIENDA SEGURA POLIZA E,COAJU,1.0,"{'PRUEBAS VIVIENDA', 'SEGURA POLIZA', 'Reunion PRUEBAS', 'VIVIENDA SEGURA'}"
ajuste de pdf poliza cuando hay clausulado,COAJU,2.0,"{'pdf polizar', 'ajuste pdf', 'polizar clausulado'}"
Ejecución de pruebas correspondientes a la HU_13,PRSIS,3.0,"{'Ejecución prueba', 'prueba correspondiente', 'correspondiente HU_13'}"
Ejecución de pruebas correspondientes a la HU_13,PRSIS,1.0,"{'Ejecución prueba', 'prueba correspondiente', 'correspondiente HU_13'}"
"Seguimiento a tareas de Arquitectura, validación de alcance de Arquitectura de Datos con equipo",APSEG,3.0,"{'Seguimiento tarea', 'tarea Arquitectura', 'validación alcance', 'Arquitectura validación', 'alcance Arquitectura', 'Datos equipo', 'Arquitectura Datos'}"
CUSISDET2VFE10 - Validación de campos en base de datos con pruebas en generación de XML,APSEG,3.0,"{'base dato', 'Validación campo', 'generación XML', 'dato prueba', 'cusisdet2vfe10 Validación', 'campo base', 'prueba generación'}"
CUSISDET2VFE10 - Validación de campos en base de datos con pruebas en generación de XML,APSEG,2.0,"{'base dato', 'Validación campo', 'generación XML', 'dato prueba', 'cusisdet2vfe10 Validación', 'campo base', 'prueba generación'}"
CUSISDET2VFE10 - Validación de campos en base de datos con pruebas en generación de XML,APSEG,3.0,"{'base dato', 'Validación campo', 'generación XML', 'dato prueba', 'cusisdet2vfe10 Validación', 'campo base', 'prueba generación'}"
Ajustes solicitiados por cliente,COAJU,3.0,"{'solicitiado cliente', 'ajuste solicitiado'}"
Ajustes solicitiados por cliente,COAJU,1.0,"{'solicitiado cliente', 'ajuste solicitiado'}"
Ajustes solicitiados por cliente,COAJU,3.0,"{'solicitiado cliente', 'ajuste solicitiado'}"
Ajustes solicitiados por IA,COAJU,1.0,"{'ajuste solicitiado', 'solicitiado IA'}"
solucion bugs tareas programada - vivienda,COAJU,3.0,"{'tarea programado', 'solucion bugs', 'programado vivienda', 'bugs tarea'}"
"Ejecutar pruebas en ambiente de laboratorio ya que en ambiente de desarrollo el weblogic es una versión inferior a la que se tiene en lab y prod.

Caso de uso: marcación, consulta personas",PRSIS,3.0,"{'ambiente laboratorio', 'weblogic versión', 'ejecutar prueba', 'caso marcación', 'inferior lab', 'laboratorio ambiente', 'desarrollo weblogic', 'prod \r\n\r\n', 'consultar persona', 'prueba ambiente', 'ambiente desarrollo', '\r\n\r\n caso', 'lab prod', 'versión inferior', 'marcación consultar'}"
Se continúa con las pruebas funcionales de Administración Canales.,PRSIS,3.0,"{'funcional Administración', 'Administración Canales', 'continúar prueba', 'prueba funcional'}"
Diseño tactico modulo SEG,ASEJE,3.0,"{'modulo SEG', 'Diseño tactico', 'tactico modulo'}"
correccion tareas programadas autos,COAJU,2.0,"{'tarea programado', 'correccion tarea', 'programado auto'}"
se corrigen grillas de cotizaciones - vivienda,COAJU,1.5,"{'cotización vivienda', 'corregir grilla', 'grilla cotización'}"
Se subieron los cambios a desarrollo y se realizaron pequeñas correcciones.,COAJU,1.0,"{'desarrollo realizar', 'realizar pequeño', 'pequeño corrección', 'cambio desarrollo', 'subir cambio'}"
Se subieron los cambios a desarrollo.,COAJU,0.5,"{'subir cambio', 'cambio desarrollo'}"
error reportado por Diana ambiente Qa no puede crear la obligaciones ,COAJU,3.0,"{'Diana ambiente', 'ambiente qa', 'reportado Diana', 'error reportado', 'qa crear', 'crear obligación'}"
error reportado por Diana ambiente Qa no puede aprobar la obligaciones en Qa ni en Pre ,COAJU,3.0,"{'aprobar obligación', 'Diana ambiente', 'obligación Qa', 'ambiente qa', 'Qa Pre', 'reportado Diana', 'qa aprobar', 'error reportado'}"
Base datos  SITDBMS no funciona en el SC exitoso ,COAJU,2.0,"{'funcionar SC', 'Base dato', 'dato  ', '  SITDBMS', 'SITDBMS funcionar', 'SC exitoso'}"
"Ejecución de los casos de prueba para el HU 1,HU 7 a través de la herramienta de Azure devOps",PRSIS,1.5,"{'1.hu 7', 'caso prueba', 'Ejecución caso', 'herramienta Azure', 'prueba HU', '7 herramienta', 'HU 1.hu', 'Azure devOps'}"
Diseño tactico modulo SEG,ASEJE,3.0,"{'modulo SEG', 'Diseño tactico', 'tactico modulo'}"
Diseño tactico modulo SEG,ASEJE,2.0,"{'modulo SEG', 'Diseño tactico', 'tactico modulo'}"
"Bug 211389: PA_HU_095_ NO MUESTRA ROL VIAJE LOS PASES ASOCIADOS A UN ROL

Bug 211390: PA_HU_095_ NO MUESTRA LA RUTAS EN LOS PASES CON RUTA ASOCIADA

Bug 211399: PF_HU_095 DUPLICIDAD PASES

Bug 211396: PA_HU_95 PERMISOS",COAJU,3.0,"{'MUESTRA ROL', '211399 PF_HU_095', '\r\n\r\n Bug', 'pases \r\n\r\n', 'Bug 211389', 'ASOCIADA \r\n\r\n', 'Bug 211396', 'PASES ASOCIADOS', '211396 PA_HU_95', 'ASOCIADOS ROL', 'ROL \r\n\r\n', 'Bug 211399', 'ROL viajir', 'mostrar ruta', 'PASES RUTA', 'duplicidad pases', 'ruta PASES', 'viajir PASES', 'PA_HU_95 PERMISOS', 'PA_HU_095 MUESTRA', '211389 PA_HU_095', 'PF_HU_095 duplicidad', 'PA_HU_095 mostrar', 'Bug 211390', 'RUTA ASOCIADA', '211390 PA_HU_095'}"
"Bug 211395: PA_HU_094 PERMISOS

",COAJU,1.75,"{'211395 PA_HU_094', 'PERMISOS \r\n\r\n', 'PA_HU_094 PERMISOS', 'Bug 211395'}"
"Bug 211398: PA_HU_094.1 PERMISOS

Bug 211394: PA_HU_94.1 CORTES INMEDIATOS",COAJU,2.75,"{'PERMISOS \r\n\r\n', 'Bug 211398', 'CORTES INMEDIATOS', '\r\n\r\n Bug', '211394 PA_HU_94.1', 'Bug 211394', 'pa_hu_094.1 PERMISOS', 'PA_HU_94.1 CORTES', '211398 pa_hu_094.1'}"
"GARANTIA
Se ajusta la logica que permite almacenas los campos GEOCERCA Y ORIGEN ESTADO en la interfaz de venta abordo  ",COAJU,2.0,"{'almacena campo', 'GARANTIA \r\n', 'abordo  ', 'GEOCERCA ORIGEN', 'permitir almacena', 'logico permitir', 'ORIGEN interfaz', 'venta abordo', 'campo GEOCERCA', '\r\n ajustar', 'interfaz venta', 'ajustar logico'}"
se trabaja en casos de motor Eliminar Obligatoriedad del Campo Tasa Unica yModificación del PL para guardado del nuevo valor de tasa. y en Análisis impacto del valor tasa en el cálculo de la prima. y Ajuste de la Tasa única,COAJU,2.0,"{'impacto valor', 'cálculo prima', 'Eliminar Obligatoriedad', 'Unica yModificación', 'trabajar caso', 'prima Ajuste', 'PL guardado', 'caso motor', 'yModificación PL', 'Tasa único', 'tasa análisis', 'Tasa Unica', 'análisis impacto', 'Obligatoriedad Campo', 'Campo Tasa', 'motor Eliminar', 'valor tasar', 'valor tasa', 'guardado valor', 'tasar cálculo', 'Ajuste Tasa'}"
se trabaja en casos de motor Eliminar Obligatoriedad del Campo Tasa Unica yModificación del PL para guardado del nuevo valor de tasa. y en Análisis impacto del valor tasa en el cálculo de la prima. y Ajuste de la Tasa única,COAJU,2.0,"{'impacto valor', 'cálculo prima', 'Eliminar Obligatoriedad', 'Unica yModificación', 'trabajar caso', 'prima Ajuste', 'PL guardado', 'caso motor', 'yModificación PL', 'Tasa único', 'tasa análisis', 'Tasa Unica', 'análisis impacto', 'Obligatoriedad Campo', 'Campo Tasa', 'motor Eliminar', 'valor tasar', 'valor tasa', 'guardado valor', 'tasar cálculo', 'Ajuste Tasa'}"
se trabaja en casos de motor Eliminar Obligatoriedad del Campo Tasa Unica yModificación del PL para guardado del nuevo valor de tasa. y en Análisis impacto del valor tasa en el cálculo de la prima. y Ajuste de la Tasa única,COAJU,2.0,"{'impacto valor', 'cálculo prima', 'Eliminar Obligatoriedad', 'Unica yModificación', 'trabajar caso', 'prima Ajuste', 'PL guardado', 'caso motor', 'yModificación PL', 'Tasa único', 'tasa análisis', 'Tasa Unica', 'análisis impacto', 'Obligatoriedad Campo', 'Campo Tasa', 'motor Eliminar', 'valor tasar', 'valor tasa', 'guardado valor', 'tasar cálculo', 'Ajuste Tasa'}"
se trabaja en casos de motor Eliminar Obligatoriedad del Campo Tasa Unica yModificación del PL para guardado del nuevo valor de tasa. y en Análisis impacto del valor tasa en el cálculo de la prima. y Ajuste de la Tasa única,COAJU,2.0,"{'impacto valor', 'cálculo prima', 'Eliminar Obligatoriedad', 'Unica yModificación', 'trabajar caso', 'prima Ajuste', 'PL guardado', 'caso motor', 'yModificación PL', 'Tasa único', 'tasa análisis', 'Tasa Unica', 'análisis impacto', 'Obligatoriedad Campo', 'Campo Tasa', 'motor Eliminar', 'valor tasar', 'valor tasa', 'guardado valor', 'tasar cálculo', 'Ajuste Tasa'}"
Se inicia a subir tareas en azure correspondientes al sprint 2 de PAD,APSEG,1.0,"{'subir tarea', '2 PAD', 'iniciar subir', 'correspondiente sprint', 'azure correspondiente', 'tarea azure', 'sprint 2'}"
"Se realizan dailys de REDEC,SUPPT, Sobretasa, austeridad, e interno",APSEG,2.5,"{'daily REDEC', 'realizar daily', 'Sobretasa austeridad', 'austeridad interno', 'REDEC SUPPT', 'SUPPT Sobretasa'}"
210330 Reunión de seguimiento diario con el equipo de trabajo,APSEG,0.5,"{'diario equipo', 'equipo trabajo', 'seguimiento diario', '210330 Reunión', 'Reunión seguimiento'}"
Apoyo a Oscar con un error que se le presentaba en la automatización,PRSIS,1.0,"{'presentar automatización', 'apoyo Oscar', 'error presentar', 'Oscar error'}"
CO_1024 - Planeación notificaciones Sprint 8,APSEG,0.5,"{'CO_1024 Planeación', 'Planeación notificaciones', 'notificaciones Sprint', 'Sprint 8'}"
CO_1024 - Seguimiento VD/VCJ,APSEG,0.5,"{'Seguimiento VD', 'VD VCJ', 'CO_1024 Seguimiento'}"
Seguimiento CUMBRE/COSMOS,APSEG,1.0,"{'CUMBRE COSMOS', 'Seguimiento CUMBRE'}"
Pruebas HU 674,PRSIS,2.0,"{'HU 674', 'Pruebas HU'}"
"Alistamiento de datos para la review 7 y 8, se mostros las hu de los sprint a Danna",PRSIS,2.0,"{'dato review', 'sprint Danna', '7 8', 'review 7', 'mostro hu', 'hu sprint', '8 mostro', 'Alistamiento dato'}"
Reunión con Marisol Portilla acerca de los hallazgos encontrados por Xcape en pruebas,PRSIS,0.5,"{'Reunión Marisol', 'Portilla acerca', 'Marisol Portilla', 'acerca hallazgo', 'Xcape prueba', 'hallazgo encontrado', 'encontrado Xcape'}"
Ejecución de pruebas Funcionales de subrogación con reporte de bug. en confirmar subrogación.,PRSIS,2.0,"{'subrogación reporte', 'Ejecución prueba', 'confirmar subrogación', 'Funcionales subrogación', 'bug confirmar', 'reporte bug', 'prueba Funcionales'}"
ejecución de pruebas recorrido de obligaciones con reporte de bug en creación.,PRSIS,1.0,"{'recorrido obligación', 'obligación reporte', 'ejecución prueba', 'bug creación', 'reporte bug', 'prueba recorrido'}"
Ejecuciuón de Pruebas con reporte de ingreso a la URL web. sin acceso a la plataforma,PRSIS,2.0,"{'Pruebas reporte', 'acceso plataforma', 'reporte ingreso', 'web acceso', 'ingreso URL', 'Ejecuciuón Pruebas', 'URL web'}"
Ejecución de prubas módulos de reestructuración y modificación.,PRSIS,1.0,"{'prubas módulo', 'Ejecución prubas', 'módulo reestructuración', 'reestructuración modificación'}"
HU Observaciones y Servicios Verificación,PRSIS,2.0,"{'HU Observaciones', 'Observaciones Servicios', 'Servicios Verificación'}"
Acta diseños - OCR en línea,PRSIS,2.0,"{'OCR línea', 'Acta diseño', 'diseño OCR'}"
HU Observaciones y Servicios Verificación,PRSIS,2.0,"{'HU Observaciones', 'Observaciones Servicios', 'Servicios Verificación'}"
HU Observaciones y Servicios Verificación,PRSIS,2.5,"{'HU Observaciones', 'Observaciones Servicios', 'Servicios Verificación'}"
Alistamiento de datos del control de cambios 957,PRSIS,1.0,"{'Alistamiento dato', 'control cambio', 'cambio 957', 'dato control'}"
Empalme de proyecto,PRSIS,3.0,{'Empalme proyecto'}
Empalme de proyecto,PRSIS,2.0,{'Empalme proyecto'}
Empalme de proyecto,PRSIS,3.0,{'Empalme proyecto'}
Daily: Seguimiento,APSEG,0.5,{'Daily Seguimiento'}
apoyo creación comisaría,COAJU,3.0,"{'creación comisacer', 'apoyo creación'}"
continuación apoyo creación comisaría,COAJU,3.0,"{'creación comisacer', 'continuación apoyo', 'apoyo creación'}"
continuación apoyo creación comisaría,COAJU,2.0,"{'creación comisacer', 'continuación apoyo', 'apoyo creación'}"
Daily,APSEG,0.5,set()
"Apoyo al equipo con las pruebas de creación de comisarias, aclaración de dudas",COAJU,3.0,"{'creación comisaria', 'equipo prueba', 'aclaración duda', 'apoyo equipo', 'comisaria aclaración', 'prueba creación'}"
"Reunión presentación cliente, presentación de proyecto",APSEG,2.0,"{'cliente presentación', 'reunión presentación', 'presentación cliente', 'presentación proyecto'}"
PRUEBAS QA UGPP,PRSIS,2.0,"{'PRUEBAS QA', 'QA UGPP'}"
Revisión de Dependientes de Tronador,PRSIS,1.0,"{'Revisión Dependientes', 'Dependientes Tronador'}"
Daily general,APSEG,1.0,{'Daily general'}
"Validación del proceso de cotización para autos y vivenda con Milena 
Se valida y se sigue presentando la indisponibilidad para generar cotizaciones",COAJU,1.0,"{'Milena \r\n', 'vivenda Milena', 'proceso cotización', '\r\n validar', 'auto vivenda', 'indisponibilidad generar', 'presentar indisponibilidad', 'validar presentar', 'cotización auto', 'generar cotización', 'Validación proceso'}"
210122- Ejecución de pruebas funcionales para HU_009,PRSIS,0.75,"{'Ejecución prueba', '210122- Ejecución', 'prueba funcional', 'funcional HU_009'}"
210129 - Ejecución de pruebas funcionales para HU_001_CR01,PRSIS,3.0,"{'210129 Ejecución', 'funcional hu_001_cr01', 'prueba funcional', 'Ejecución prueba'}"
QA Ciclo 1,PRSIS,3.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,2.0,"{'Ciclo 1', 'qa Ciclo'}"
SEGUIMIENTOS BCIE,APSEG,4.0,{'seguimientos bcie'}
SEGUIMIENTO PROYECTOS DOCUMENTACION Y BI,APSEG,1.0,"{'seguimiento proyecto', 'proyecto documentacion', 'documentacion BI'}"
REVISION PROCESO DOCUMENTACION BCIE,APSEG,1.0,"{'revision PROCESO', 'PROCESO documentacion', 'documentacion bcie'}"
REVISION PROYECTO  DWH ENTREGA FINAL,APSEG,1.0,"{'  DWH', 'DWH ENTREGA', 'REVISION PROYECTO', 'PROYECTO  '}"
REVISION ESTIMACIONES SOLICITADAS,APSEG,1.0,"{'estimación SOLICITADAS', 'revision estimación'}"
Encuesta Psicosocial,ASEJE,0.83,{'Encuesta Psicosocial'}
Diligenciamiento de encuesta psicosocial.    ,ASEJE,1.0,"{'psicosocial    ', 'encuesta psicosocial', 'Diligenciamiento encuesta'}"
Generar seguimiento del proyecto entradas por precio.,ASEJE,0.5,"{'entrada precio', 'generar seguimiento', 'seguimiento proyecto', 'proyecto entrada'}"
210122- Ejecución de pruebas funcionales para HU_009,PRSIS,1.0,"{'Ejecución prueba', '210122- Ejecución', 'prueba funcional', 'funcional HU_009'}"
210129 - Ejecución de pruebas funcionales para HU_001_CR01,PRSIS,2.0,"{'210129 Ejecución', 'funcional hu_001_cr01', 'prueba funcional', 'Ejecución prueba'}"
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
Daily ASW,APSEG,0.25,{'Daily ASW'}
Estado transversal Davivienda,APSEG,0.75,{'transversal Davivienda'}
Daily Exógena,APSEG,0.25,{'Daily Exógena'}
Daily Revisión Planeación ASW con Daveiva,APSEG,0.5,"{'Planeación ASW', 'ASW Daveiva', 'Daily Revisión', 'Revisión Planeación'}"
Agendar reuniones para el Señor Alejandro,APSEG,3.0,"{'agendar reunión', 'Señor Alejandro', 'reunión Señor'}"
seguimiento al reporte de actividades  mes de septiembre,APSEG,2.0,"{'seguimiento reporte', '  mes', 'mes septiembre', 'reporte actividad', 'actividad  '}"
Seguimiento a pendientes,APSEG,3.0,{'seguimientir pendiente'}
"Realizacion de pruebas de caso Modulo 1 HU13  RESPONSIVEN , navegador Google",ASEJE,1.0,"{'RESPONSIVEN navegador', 'caso Modulo', 'Modulo 1', '1 hu13', '  RESPONSIVEN', 'hu13  ', 'navegador Google', 'prueba caso', 'Realizacion prueba'}"
"Realizacion de pruebas de caso Modulo 1 HU13  RESPONSIVEN , navegador Google",ASEJE,1.0,"{'RESPONSIVEN navegador', 'caso Modulo', 'Modulo 1', '1 hu13', '  RESPONSIVEN', 'hu13  ', 'navegador Google', 'prueba caso', 'Realizacion prueba'}"
"Realizacion de pruebas de caso Modulo 1 HU13  RESPONSIVEN , navegador Google",ASEJE,1.0,"{'RESPONSIVEN navegador', 'caso Modulo', 'Modulo 1', '1 hu13', '  RESPONSIVEN', 'hu13  ', 'navegador Google', 'prueba caso', 'Realizacion prueba'}"
"Realizacion de pruebas de caso Modulo 1 HU13  RESPONSIVEN , navegador Google",ASEJE,1.0,"{'RESPONSIVEN navegador', 'caso Modulo', 'Modulo 1', '1 hu13', '  RESPONSIVEN', 'hu13  ', 'navegador Google', 'prueba caso', 'Realizacion prueba'}"
"Realizacion de pruebas de caso Modulo 1 HU13  RESPONSIVEN , navegador Google",ASEJE,1.0,"{'RESPONSIVEN navegador', 'caso Modulo', 'Modulo 1', '1 hu13', '  RESPONSIVEN', 'hu13  ', 'navegador Google', 'prueba caso', 'Realizacion prueba'}"
"Realizacion de pruebas de caso Modulo 1 HU13  RESPONSIVEN , navegador Google",ASEJE,1.0,"{'RESPONSIVEN navegador', 'caso Modulo', 'Modulo 1', '1 hu13', '  RESPONSIVEN', 'hu13  ', 'navegador Google', 'prueba caso', 'Realizacion prueba'}"
"Realizacion de pruebas de caso Modulo 1 HU13  RESPONSIVEN , navegador Google",ASEJE,1.0,"{'RESPONSIVEN navegador', 'caso Modulo', 'Modulo 1', '1 hu13', '  RESPONSIVEN', 'hu13  ', 'navegador Google', 'prueba caso', 'Realizacion prueba'}"
"Realizacion de pruebas de caso Modulo 1 HU13  RESPONSIVEN , navegador Google",ASEJE,1.0,"{'RESPONSIVEN navegador', 'caso Modulo', 'Modulo 1', '1 hu13', '  RESPONSIVEN', 'hu13  ', 'navegador Google', 'prueba caso', 'Realizacion prueba'}"
"Se ejecutan las pruebas funcionales para los casos de uso de marcación, consulta personas y Administración Canales. en ambiente de lab.",PRSIS,3.0,"{'caso marcación', 'ejecutar prueba', 'persona Administración', 'Administración Canales', 'funcional caso', 'consultar persona', 'Canales ambiente', 'ambiente lab', 'marcación consultar', 'prueba funcional'}"
"Reunión Daily PAD
",APSEG,0.25,"{'Reunión Daily', 'PAD \r\n', 'Daily PAD'}"
"Reunión Daily REDEC - Migración
",APSEG,0.25,"{'Reunión Daily', 'Migración \r\n', 'REDEC Migración', 'Daily REDEC'}"
"Reunión PAD - Olga Pérez - Explicación inicial CU Reactivar Plan
",APSEG,1.0,"{'explicación inicial', 'Reactivar Plan', 'Olga Pérez', 'cu Reactivar', 'Plan \r\n', 'PAD Olga', 'inicial cu', 'Reunión PAD', 'Pérez explicación'}"
Sesión para desarrollo de Encuesta Psicosocial.,ASEJE,1.0,"{'Encuesta Psicosocial', 'sesión desarrollo', 'desarrollo Encuesta'}"
conexion de ambientes y revision de código angular,COAJU,1.0,"{'código angular', 'revision código', 'ambiente revision', 'conexion ambiente'}"
conexion de ambientes y revision de código angular,COAJU,4.0,"{'código angular', 'revision código', 'ambiente revision', 'conexion ambiente'}"
Dayli. Reunión con cliente,APSEG,2.0,"{'reunión cliente', 'Dayli reunión'}"
Seguimiento Proyecto,APSEG,1.0,{'Seguimiento Proyecto'}
Seguimiento proyecto,APSEG,2.0,{'Seguimiento proyecto'}
ajustes de estados y prioridades,COAJU,2.0,{'ajuste prioridad'}
Realización de encuesta psicosocial,ASEJE,1.0,"{'Realización encuesta', 'encuesta psicosocial'}"
"Revisión de actividades del proyecto CO_1005, enviando las correcciones del caso.",ASEJE,1.75,"{'actividad proyecto', 'corrección caso', 'CO_1005 enviar', 'Revisión actividad', 'enviar corrección', 'proyecto CO_1005'}"
Solución bugs de HU 94,COAJU,3.0,"{'Solución bugs', 'bugs HU', 'HU 94'}"
Implementación de bugs en rama release,COAJU,0.5,"{'bugs rama', 'Implementación bugs', 'rama release'}"
Daily Reunion Defectos priorizados Fase II cliente Davivienda,APSEG,0.5,"{'Defectos priorizado', 'II cliente', 'Fase II', 'cliente Davivienda', 'Reunion Defectos', 'priorizado Fase', 'Daily Reunion'}"
Reunión cliente seguimiento bugs priorizados,APSEG,1.0,"{'bugs priorizados', 'seguimiento bugs', 'reunión cliente', 'cliente seguimiento'}"
"Revisión inconsistencia en control col para F397, ajuste proceso de controles y nuevo cargue en pruebas",PRSIS,2.0,"{'inconsistenciar control', 'ajuste proceso', 'control cargar', 'cargar prueba', 'control col', 'col F397', 'F397 ajuste', 'proceso control', 'Revisión inconsistenciar'}"
Ajustes a la consulta de historico,COAJU,3.0,"{'consulta historico', 'ajuste consulta'}"
Daikys y seguimiento de avances con equipos de trabajo,APSEG,4.0,"{'equipo trabajo', 'avance equipo', 'Daikys seguimiento', 'seguimiento avance'}"
ENCUESTA PSICOSOCIAL,ASEJE,1.0,{'ENCUESTA psicosocial'}
