DESCRIPCION,CODIGO_ETAPA,DURACION_HORAS,bigrams
Inicio de solución de tareas para la realización de la HU_094.1 En este caso realice la tarea creación de la opción en el menú para entrar a corte-energia,COAJU,2.0,"{'caso realizar', 'opción menú', 'realización HU_094.1', 'solución tarea', 'menú entrar', 'realizar tarea', 'iniciar solución', 'HU_094.1 caso', 'entrar corte-energia', 'tarea realización', 'creación opción', 'tarea creación'}"
"Solución y creación de todo el tema de traducción, quedo listo en ambos idiomas, español e inglés.",COAJU,3.0,"{'listo idioma', 'creación tema', 'tema traducción', 'traducción quedo', 'quedo listo', 'idioma español', 'español inglés', 'solución creación'}"
Revisión de un inconveniente que se presento en el tema responsive.,COAJU,3.0,"{'tema responsivir', 'inconveniente presento', 'Revisión inconveniente', 'presento tema'}"
Correcion de HU_001,COAJU,3.0,{'Correcion HU_001'}
Continuacion con boton de nueva solicitud,COAJU,3.0,"{'boton solicitud', 'Continuacion boton'}"
Realizar pruebas CU10-Diligenciar hallazgos,PRSIS,0.67,"{'prueba cu10-diligenciar', 'cu10-diligenciar hallazgo'}"
Reunión de seguimiento diario,PRSIS,0.33,"{'seguimiento diario', 'reunión seguimiento'}"
ajuste de bugs de auto,COAJU,3.0,"{'bugs auto', 'ajuste bugs'}"
ajuste de bugs de auto,COAJU,3.0,"{'bugs auto', 'ajuste bugs'}"
ajuste de bugs de auto,COAJU,2.0,"{'bugs auto', 'ajuste bugs'}"
Daily,APSEG,0.5,set()
Creación prefactura; actualización pendientes; reunión con Equipo a nivel interno planificación ejecución Pruebas SP4,APSEG,2.5,"{'interno planificación', 'Pruebas SP4', 'Creación prefacturo', 'planificación ejecución', 'prefacturo actualización', 'Equipo nivel', 'actualización pendiente', 'pendiente reunión', 'nivel interno', 'ejecución Pruebas', 'reunión Equipo'}"
"seguimiento equipo, actualización novedades",APSEG,1.0,"{'equipo actualización', 'actualización novedad', 'seguimiento equipo'}"
"Seguimiento avance, envio correos de credenciales a cliente para Valores; envio de hojas de vida; generación prefactura",APSEG,3.0,"{'credencial cliente', 'Valores envio', 'envio hoja', 'Seguimiento avance', 'avance enver', 'cliente Valores', 'correo credencial', 'generación prefacturo', 'vida generación', 'hoja vida', 'enver correo'}"
"Pruebas Funcionales HU_006, HU_007 y HU_009.",PRSIS,3.0,"{'HU_007 HU_009', 'Pruebas Funcionales', 'HU_006 HU_007', 'Funcionales HU_006'}"
"Pruebas Funcionales HU_006, HU_007 y HU_009.",PRSIS,1.0,"{'HU_007 HU_009', 'Pruebas Funcionales', 'HU_006 HU_007', 'Funcionales HU_006'}"
QA Ciclo 1,PRSIS,3.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,1.0,"{'Ciclo 1', 'qa Ciclo'}"
SE TRABAJA EN CASO DE MOTOR EN LA ACTIVIDAD DE IMPLEMENTACION DE MAPEO PARAMETRICAS,COAJU,2.0,"{'MOTOR actividad', 'caso MOTOR', 'MAPEO PARAMETRICAS', 'actividad IMPLEMENTACION', 'trabaja caso', 'IMPLEMENTACION MAPEO'}"
SE TRABAJA EN CASO DE MOTOR EN LA ACTIVIDAD DE IMPLEMENTACION DE MAPEO PARAMETRICAS,COAJU,2.0,"{'MOTOR actividad', 'caso MOTOR', 'MAPEO PARAMETRICAS', 'actividad IMPLEMENTACION', 'trabaja caso', 'IMPLEMENTACION MAPEO'}"
SE TRABAJA EN CASO DE MOTOR EN LA ACTIVIDAD DE IMPLEMENTACION DE MAPEO PARAMETRICAS,COAJU,2.0,"{'MOTOR actividad', 'caso MOTOR', 'MAPEO PARAMETRICAS', 'actividad IMPLEMENTACION', 'trabaja caso', 'IMPLEMENTACION MAPEO'}"
SE TRABAJA EN CASO DE MOTOR EN LA ACTIVIDAD DE IMPLEMENTACION DE MAPEO PARAMETRICAS,COAJU,2.0,"{'MOTOR actividad', 'caso MOTOR', 'MAPEO PARAMETRICAS', 'actividad IMPLEMENTACION', 'trabaja caso', 'IMPLEMENTACION MAPEO'}"
Activacion y modificaicon de dnamicos para validar las reglas de semanas venta.,COAJU,8.0,"{'validar regla', 'dnamico validar', 'semana venta', 'Activacion modificaicon', 'regla semana', 'modificaicon dnamico'}"
Programa de cierre de proyectos,APSEG,3.0,"{'Programa cierre', 'cierre proyecto'}"
Programa de cierre de proyectos,APSEG,3.0,"{'Programa cierre', 'cierre proyecto'}"
Programa de cierre de proyectos,APSEG,2.0,"{'Programa cierre', 'cierre proyecto'}"
daily 2 de Septiembre,APSEG,0.5,"{'daily 2', '2 Septiembre'}"
"Seguimiento con el equipo de Colfondos
Validacion y aprobacion de las actividades de ARES de los proyectos de outsourcing, para poder generar la pre factura
Se validan unos riesgos de unos proyectos",APSEG,3.0,"{'proyecto outsourcing', 'Seguimiento equipo', '\r\n Validacion', '\r\n validar', 'validar riesgo', 'Validacion aprobacion', 'ares proyecto', 'aprobacion actividad', 'equipo Colfondos', 'outsourcing generar', 'Colfondos \r\n', 'riesgo proyecto', 'actividad ares', 'factura \r\n', 'pre factura', 'generar pre'}"
recibir actividades de pruebas,PRSIS,3.0,"{'recibir actividad', 'actividad prueba'}"
recibir actividades de pruebas,PRSIS,2.0,"{'recibir actividad', 'actividad prueba'}"
recibir actividades de pruebas,PRSIS,3.0,"{'recibir actividad', 'actividad prueba'}"
"Generación de data para validar los flujos y correcciones en el ambiente de QA para los módulos de 4 ,5,6,9.",ASEJE,1.5,"{'QA módulo', 'corrección ambiente', 'Generación datar', 'flujo corrección', 'módulo 4', 'validar flujo', 'ambiente QA', 'datar validar', '4 5.6.9'}"
"Generación de data para validar los flujos y correcciones en el ambiente de QA para los módulos de  5,6 y 9.",ASEJE,2.0,"{'QA módulo', 'corrección ambiente', 'Generación datar', 'flujo corrección', 'validar flujo', 'ambiente QA', 'módulo  ', 'datar validar', '  5.6', '5.6 9'}"
Generación de data y validación de entrega de los flujos en el ambiente de desarrollo para el modulo 9.,ASEJE,2.0,"{'modulo 9', 'validación entrega', 'ambiente desarrollo', 'desarrollo modulo', 'Generación data', 'entrega flujo', 'data validación', 'flujo ambiente'}"
Generación de data y validación de entrega de los flujos en el ambiente de desarrollo para el modulo 9.,ASEJE,2.0,"{'modulo 9', 'validación entrega', 'ambiente desarrollo', 'desarrollo modulo', 'Generación data', 'entrega flujo', 'data validación', 'flujo ambiente'}"
revisión modulo 5 y 6 flujos,PRSIS,3.0,"{'revisión modulo', 'modulo 5', '6 flujo', '5 6'}"
revisión modulo 5 y 6 flujos,PRSIS,2.0,"{'revisión modulo', 'modulo 5', '6 flujo', '5 6'}"
revisión modulo 5 y 6 flujos,PRSIS,3.0,"{'revisión modulo', 'modulo 5', '6 flujo', '5 6'}"
revisión modulo 5 y 6 flujos,PRSIS,2.0,"{'revisión modulo', 'modulo 5', '6 flujo', '5 6'}"
revisión de flujos del modulo 5 al 10,PRSIS,3.0,"{'modulo 5', 'flujo modulo', '5 10', 'revisión flujo'}"
MDSB 251631: Se realiza reunion con Gloria Mora y el equipo de Cryptovault para realizar pruebas en los cambios de compaiñias 2 y 3.,PRSIS,2.0,"{'Cryptovault prueba', 'equipo Cryptovault', 'reunion Gloria', 'Gloria Mora', 'compaiñias 2', 'cambio compaiñias', '2 3', 'Mora equipo', 'realizar reunion', '251631 realizar', 'MDSB 251631', 'prueba cambio'}"
Daily,APSEG,0.5,set()
Prueba de conexión ODI Siebel en laboratorio con Henry y compañía,PRSIS,1.0,"{'laboratorio Henry', 'ODI Siebel', 'probar conexión', 'Henry compañía', 'conexión ODI', 'Siebel laboratorio'}"
reestructuración de los estilos de grid de la pantalla de registrar inforbase con la versión 4 de bootstrap,COAJU,3.0,"{'grid pantalla', 'registrar inforbase', '4 bootstrap', 'reestructuración estilo', 'inforbase versión', 'versión 4', 'estilo grid', 'pantalla registrar'}"
reestructuración de los estilos de grid de la pantalla de registrar inforbase con la versión 4 de bootstrap,COAJU,2.5,"{'grid pantalla', 'registrar inforbase', '4 bootstrap', 'reestructuración estilo', 'inforbase versión', 'versión 4', 'estilo grid', 'pantalla registrar'}"
Daily reunion am,APSEG,0.5,"{'reunion am', 'Daily reunion'}"
Seguimiento al equipo y planeación de actividades,APSEG,4.0,"{'seguimientir equipo', 'planeación actividad', 'equipo planeación'}"
Seguimiento a las actividades mes de agosto,APSEG,3.0,"{'mes agosto', 'actividad mes', 'seguimiento actividad'}"
Seguimiento a las actividades mes de agosto,APSEG,3.0,"{'mes agosto', 'actividad mes', 'seguimiento actividad'}"
Agendar reuniones para el señor alejandro ,APSEG,2.0,"{'agendar reunión', 'reunión señor', 'señor alejandro'}"
Se ejecutan pruebas de las HU 95 y 97.,PRSIS,3.0,"{'prueba HU', 'HU 95', 'ejecutar prueba', '95 97'}"
Se ejecutan pruebas de las HU 95 y 97.,PRSIS,2.0,"{'prueba HU', 'HU 95', 'ejecutar prueba', '95 97'}"
HU módulo 11,ASEJE,3.0,"{'HU módulo', 'módulo 11'}"
HU módulo 11,ASEJE,3.0,"{'HU módulo', 'módulo 11'}"
HU módulo 11,ASEJE,2.0,"{'HU módulo', 'módulo 11'}"
Desarrollo actividades para ajustes segun archivo del cliente,COAJU,3.0,"{'actividad ajuste', 'ajuste archivo', 'archivo cliente', 'Desarrollo actividad'}"
Desarrollo actividades para ajustes segun archivo del cliente,COAJU,1.0,"{'actividad ajuste', 'ajuste archivo', 'archivo cliente', 'Desarrollo actividad'}"
Desarrollo actividades para ajustes segun archivo del cliente,COAJU,3.0,"{'actividad ajuste', 'ajuste archivo', 'archivo cliente', 'Desarrollo actividad'}"
QA Ciclo 1,PRSIS,3.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 2,PRSIS,2.0,"{'Ciclo 2', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,3.0,"{'Ciclo 1', 'qa Ciclo'}"
Ejecucion prueba modulo 10,PRSIS,3.0,"{'Ejecucion probar', 'modulo 10', 'probar modulo'}"
Ejecucion prueba modulo 10,PRSIS,1.0,"{'Ejecucion probar', 'modulo 10', 'probar modulo'}"
QA Ciclo 1,PRSIS,2.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,3.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,2.5,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,3.0,"{'Ciclo 1', 'qa Ciclo'}"
QA Ciclo 2,PRSIS,2.0,"{'Ciclo 2', 'qa Ciclo'}"
QA Ciclo 1,PRSIS,3.0,"{'Ciclo 1', 'qa Ciclo'}"
"Validación de estadísticos Daviplata en ODS, generación de archivos y sesión con usuario",PRSIS,2.0,"{'Daviplata ODS', 'generación archivo', 'Validación estadístico', 'ODS generación', 'estadístico Daviplata', 'sesión usuario', 'archivo sesión'}"
Pruebas para entrega al cliente,PRSIS,2.0,"{'entrega cliente', 'Pruebas entrega'}"
Pruebas para entrega al cliente,PRSIS,3.0,"{'entrega cliente', 'Pruebas entrega'}"
entrega al cliente,PRSIS,2.0,{'entrega cliente'}
entrega al cliente,PRSIS,3.0,{'entrega cliente'}
DAILY,PRSIS,0.5,set()
